R0000100,SEX,HEIGHT-FEET,HEIGHT-INCHES,EARNINGS,U0474000,U0474100,U0474200,U0474300,U0474400,U0474500
1,2,5,7,-4,-4,-4,-4,-4,-4,-4
2,1,5,7,-4,-4,-4,-4,-4,-4,-4
3,2,5,-2,-5,-5,-5,-5,-5,-5,-5
4,2,5,1,-4,-4,-4,-4,-4,-4,-4
5,1,5,6,-4,-4,-4,-4,-4,-4,-4
6,2,-2,-2,-4,-4,-4,-4,-4,-4,-4
7,1,-1,-1,-4,-4,-4,-4,-4,-4,-4
8,2,5,7,-4,-4,-4,-4,-4,-4,-4
9,1,5,11,-4,-4,-4,-4,-4,-4,-4
10,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,2,5,4,-4,-4,-4,-4,-4,-4,-4
12,1,5,6,-4,-4,-4,-4,-4,-4,-4
13,1,5,5,-1,-4,-4,-4,-4,-4,-4
14,1,5,7,-4,-4,-4,-4,-4,-4,-4
15,2,4,11,-5,-5,-5,-5,-5,-5,-5
16,1,6,6,-4,-4,-4,-4,-4,-4,-4
17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
18,1,5,8,1930,-4,-4,-4,-4,-4,-4
19,1,5,10,-4,-4,-4,-4,-4,-4,-4
20,1,-5,-5,-4,-4,-4,-4,-4,-4,-4
21,1,5,11,1000,-4,-4,-4,-4,-4,-4
22,1,5,9,-4,-4,-4,-4,-4,-4,-4
23,2,4,11,-4,-4,-4,-4,-4,-4,-4
24,1,5,6,-4,-4,-4,-4,-4,-4,-4
25,2,5,4,-4,-4,-4,-4,-4,-4,-4
26,1,5,6,-4,-4,-4,-4,-4,-4,-4
27,1,5,6,-4,-4,-4,-4,-4,-4,-4
28,2,5,9,-4,-4,-4,-4,-4,-4,-4
29,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
30,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
31,1,5,9,-4,-4,-4,-4,-4,-4,-4
32,2,5,8,-4,-4,-4,-4,-4,-4,-4
33,2,5,4,-4,-4,-4,-4,-4,-4,-4
34,2,5,7,-4,-4,-4,-4,-4,-4,-4
35,1,5,7,-4,-4,-4,-4,-4,-4,-4
36,2,5,4,-4,-4,-4,-4,-4,-4,-4
37,2,5,6,-4,-4,-4,-4,-4,-4,-4
38,2,5,7,-4,-4,-4,-4,-4,-4,-4
39,1,5,11,-4,-4,-4,-4,-4,-4,-4
40,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
41,2,5,2,5250000,-4,-4,-4,-4,-4,-4
42,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
43,2,5,3,0,-4,-4,-4,-4,-4,-4
44,1,5,9,-4,-4,-4,-4,-4,-4,-4
45,2,-2,-2,-4,-4,-4,-4,-4,-4,-4
46,1,6,1,-4,-4,-4,-4,-4,-4,-4
47,2,5,0,-4,-4,-4,-4,-4,-4,-4
48,2,5,7,-4,-4,-4,-4,-4,-4,-4
49,2,5,4,-4,-4,-4,-4,-4,-4,-4
50,2,5,4,-4,-4,-4,-4,-4,-4,-4
51,1,5,5,-4,-4,-4,-4,-4,-4,-4
52,1,5,9,-4,-4,-4,-4,-4,-4,-4
53,2,5,3,-4,-4,-4,-4,-4,-4,-4
54,2,5,5,-4,-4,-4,-4,-4,-4,-4
55,2,5,4,-4,-4,-4,-4,-4,-4,-4
56,2,5,5,-4,-4,-4,-4,-4,-4,-4
57,1,5,12,-4,-4,-4,-4,-4,-4,-4
58,1,5,8,-4,-4,-4,-4,-4,-4,-4
59,2,5,9,-4,-4,-4,-4,-4,-4,-4
60,1,5,9,-4,-4,-4,-4,-4,-4,-4
61,2,5,2,-4,-4,-4,-4,-4,-4,-4
62,1,6,2,-4,-4,-4,-4,-4,-4,-4
63,2,5,4,-4,-4,-4,-4,-4,-4,-4
64,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,1,5,11,-5,-5,-5,-5,-5,-5,-5
66,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
67,1,6,0,-4,-4,-4,-4,-4,-4,-4
68,1,6,10,-4,-4,-4,-4,-4,-4,-4
69,2,5,6,-5,-5,-5,-5,-5,-5,-5
70,1,6,0,-4,-4,-4,-4,-4,-4,-4
71,1,-2,-2,-4,-4,-4,-4,-4,-4,-4
72,2,-5,-5,-4,-4,-4,-4,-4,-4,-4
73,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
74,1,5,10,-4,-4,-4,-4,-4,-4,-4
75,1,5,7,-4,-4,-4,-4,-4,-4,-4
76,1,5,6,-4,-4,-4,-4,-4,-4,-4
77,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
78,2,5,3,-4,-4,-4,-4,-4,-4,-4
79,1,5,7,-4,-4,-4,-4,-4,-4,-4
80,1,5,11,-4,-4,-4,-4,-4,-4,-4
81,2,5,9,-4,-4,-4,-4,-4,-4,-4
82,1,6,1,-4,-4,-4,-4,-4,-4,-4
83,1,5,10,-4,-4,-4,-4,-4,-4,-4
84,2,5,3,-4,-4,-4,-4,-4,-4,-4
85,1,5,8,-4,-4,-4,-4,-4,-4,-4
86,2,5,3,-4,-4,-4,-4,-4,-4,-4
87,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
88,1,6,0,-5,-5,-5,-5,-5,-5,-5
89,1,5,11,-4,-4,-4,-4,-4,-4,-4
90,1,5,8,-4,-4,-4,-4,-4,-4,-4
91,2,5,9,-5,-5,-5,-5,-5,-5,-5
92,1,5,2,-4,-4,-4,-4,-4,-4,-4
93,1,5,5,-4,-4,-4,-4,-4,-4,-4
94,2,5,3,-4,-4,-4,-4,-4,-4,-4
95,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
96,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
97,1,6,0,-4,-4,-4,-4,-4,-4,-4
98,1,5,10,-5,-5,-5,-5,-5,-5,-5
99,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
100,2,5,5,-4,-4,-4,-4,-4,-4,-4
101,2,5,9,-4,-4,-4,-4,-4,-4,-4
102,2,5,6,-5,-5,-5,-5,-5,-5,-5
103,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
104,2,5,5,-4,-4,-4,-4,-4,-4,-4
105,1,5,6,-4,-4,-4,-4,-4,-4,-4
106,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
107,2,5,3,-4,-4,-4,-4,-4,-4,-4
108,1,6,1,-4,-4,-4,-4,-4,-4,-4
109,2,5,3,-4,-4,-4,-4,-4,-4,-4
110,2,5,9,-4,-4,-4,-4,-4,-4,-4
