"R0000100","R0173600","R0214800","T3955100","T4471100"
1,5,2,-5,-5
2,5,2,5,-4
3,5,2,5,-4
4,5,2,-5,-5
5,1,1,-5,-5
6,1,1,5,-4
7,1,1,-5,-5
8,6,2,5,-4
9,1,1,5,-4
10,6,2,-5,-5
11,1,1,-5,-5
12,5,2,-5,-5
13,1,1,-5,-5
14,5,2,5,-4
15,1,1,6,-4
16,5,2,5,-4
17,1,1,5,-4
18,1,1,5,-4
19,5,2,-5,-5
20,5,2,5,-4
21,5,2,5,-4
22,5,2,5,-4
23,1,1,-5,-5
24,1,1,-5,-5
25,5,2,5,-4
26,1,1,5,-5
27,5,2,5,-4
28,5,2,-5,-5
29,5,2,5,-4
30,5,2,5,-4
31,4,1,5,40000
32,8,2,-5,-5
33,4,1,5,-4
34,1,1,5,-4
35,5,2,-5,-5
36,1,1,5,-4
37,5,2,5,-4
38,5,2,5,75000
39,1,1,6,-4
40,2,1,5,-4
41,2,1,6,29200
42,1,1,6,-4
43,6,2,5,-4
44,5,2,5,-4
45,1,1,-5,-5
46,5,2,-5,-5
47,1,1,6,-4
48,2,1,-5,-5
49,5,2,5,-4
50,5,2,5,-4
51,1,1,-5,-5
52,1,1,6,-4
53,4,1,5,-4
54,1,1,-5,-4
55,1,1,-5,-5
56,5,2,-5,-5
57,5,2,5,-4
58,5,2,5,-4
59,1,1,5,-4
60,1,1,5,-5
61,5,2,5,-4
62,5,2,5,-4
63,1,1,5,-4
64,1,1,-5,-5
65,5,2,-5,-5
66,1,1,5,-4
67,1,1,6,-4
68,5,2,5,-4
69,1,1,6,-4
70,1,1,5,-4
71,1,1,-5,-4
72,5,2,5,-4
73,1,1,-5,-4
74,5,2,-5,-5
75,5,2,5,-4
76,1,1,6,-4
77,5,2,5,-4
78,5,2,-5,-5
79,1,1,-5,-5
80,1,1,5,-4
81,1,1,-5,-4
82,3,1,-5,-5
83,3,1,6,-4
84,3,1,5,-4
85,3,1,5,-4
86,7,2,5,-4
87,3,1,5,-4
88,3,1,6,-4
89,7,2,-5,-5
90,1,1,5,-4
91,5,2,5,88000
92,5,2,4,-4
93,1,1,5,-4
94,1,1,5,-4
95,5,2,5,-4
96,6,2,5,-4
97,5,2,5,-4
98,6,2,5,-4
99,5,2,5,-4
100,5,2,5,-4
101,1,1,-5,-5
102,5,2,5,-4
103,1,1,5,-4
104,5,2,-5,-5
105,6,2,5,-5
106,1,1,5,-4
107,1,1,5,-4
108,1,1,5,-4
109,5,2,-5,-5
110,1,1,6,-4
111,5,2,5,-4
112,5,2,5,-4
113,1,1,-5,-5
114,1,1,-5,-5
115,5,2,-5,-4
116,5,2,-5,-5
117,1,1,5,-4
118,5,2,-5,-5
119,1,1,5,-4
120,1,1,6,-4
121,5,2,5,-4
122,1,1,6,-4
123,1,1,-5,-5
124,5,2,5,-4
125,1,1,-5,-5
126,1,1,6,-4
127,1,1,-5,-5
128,5,2,5,132000
129,1,1,5,-4
130,6,2,-5,-5
131,6,2,-5,-5
132,6,2,-5,-5
133,5,2,5,-4
134,1,1,-5,-5
135,1,1,5,160000
136,5,2,5,-4
137,5,2,5,-4
138,5,2,5,-4
139,1,1,5,-5
140,5,2,5,-4
141,5,2,5,-4
142,1,1,5,-5
143,5,2,-5,-5
144,5,2,5,-4
145,1,1,5,-5
146,1,1,5,-4
147,5,2,5,-4
148,1,1,5,-4
149,5,2,5,-4
150,1,1,5,-5
151,5,2,-5,-5
152,5,2,5,-4
153,5,2,5,161000
154,5,2,-5,-5
155,1,1,5,-5
156,1,1,5,-4
157,5,2,5,-4
158,5,2,5,-4
159,5,2,-5,-5
160,5,2,5,-4
161,5,2,5,-4
162,1,1,-5,-5
163,1,1,-5,-5
164,5,2,5,-4
165,5,2,5,-4
166,1,1,5,-5
167,5,2,-5,-5
168,3,1,5,-4
169,7,2,5,-4
170,5,2,-5,-5
171,1,1,5,-4
172,6,2,5,-4
173,1,1,-5,-5
174,8,2,5,-4
175,5,2,5,-4
176,5,2,-5,-5
177,1,1,-5,-5
178,1,1,6,-5
179,5,2,5,-4
180,5,2,-5,-4
181,1,1,5,24000
182,1,1,5,-4
183,5,2,-5,-5
184,5,2,5,-4
185,1,1,6,-4
186,5,2,5,-4
187,1,1,-5,-5
188,5,2,5,-4
189,1,1,6,-4
190,5,2,5,-4
191,1,1,5,-4
192,5,2,5,-4
193,1,1,5,-4
194,1,1,-5,-5
195,1,1,6,-4
196,1,1,-5,-5
197,5,2,5,-4
198,1,1,5,-5
199,1,1,5,-4
200,5,2,5,-4
201,1,1,5,-4
202,1,1,6,-4
203,8,2,-5,-5
204,8,2,5,-4
205,8,2,5,-4
206,1,1,-5,-5
207,1,1,-5,-5
208,6,2,-5,-5
209,1,1,-5,-5
210,1,1,5,-4
211,5,2,5,134800
212,1,1,6,-4
213,1,1,-5,-5
214,1,1,6,-4
215,1,1,-5,-5
216,5,2,-5,-5
217,1,1,-5,-5
218,1,1,5,-4
219,5,2,5,-4
220,5,2,5,-4
221,7,2,5,-4
222,3,1,-2,-4
223,3,1,5,-4
224,7,2,5,-4
225,4,1,-5,-5
226,4,1,-5,-5
227,7,2,5,-4
228,8,2,5,-4
229,5,2,5,-4
230,1,1,5,-4
231,5,2,5,-4
232,1,1,5,-5
233,1,1,5,-4
234,2,1,5,-4
235,1,1,5,-4
236,5,2,5,-4
237,5,2,5,-4
238,6,2,-5,-5
239,6,2,5,-4
240,6,2,5,78800
241,2,1,-5,-5
242,5,2,5,-4
243,1,1,6,-4
244,5,2,5,-4
245,5,2,5,-4
246,1,1,-5,-5
247,2,1,5,-4
248,2,1,6,-4
249,6,2,5,134170
250,5,2,5,-4
251,2,1,5,-4
252,6,2,5,-4
253,1,1,5,27600
254,5,2,5,120000
255,5,2,5,-4
256,5,2,5,-4
257,1,1,5,-4
258,5,2,5,-4
259,1,1,6,110440
260,1,1,5,-4
261,1,1,5,-4
262,5,2,-5,-5
263,1,1,-5,-5
264,5,2,-5,-5
265,5,2,5,172000
266,2,1,-5,-5
267,1,1,5,-4
268,1,1,5,-4
269,2,1,5,-4
270,1,1,-5,-5
271,5,2,-5,-5
272,5,2,5,-4
273,1,1,6,-4
274,2,1,6,-4
275,6,2,5,-4
276,5,2,-5,-5
277,1,1,5,-4
278,5,2,-5,-5
279,1,1,-5,-4
280,5,2,-5,-5
281,1,1,6,-4
282,5,2,5,-4
283,4,1,5,-4
284,4,1,5,-4
285,8,2,5,-4
286,8,2,5,-4
287,5,2,-5,-5
288,5,2,5,-4
289,5,2,5,-4
290,8,2,5,108000
291,3,1,6,-4
292,5,2,5,-4
293,5,2,5,-4
294,5,2,5,-4
295,1,1,-5,-5
296,1,1,-5,-4
297,5,2,5,115000
298,8,2,-5,-5
299,4,1,5,-4
300,4,1,-5,-5
301,4,1,5,-4
302,4,1,5,-4
303,4,1,5,-4
304,4,1,5,-4
305,8,2,4,-4
306,3,1,5,-4
307,5,2,5,60000
308,1,1,5,-4
309,1,1,-5,-4
310,1,1,5,-4
311,1,1,6,-4
312,5,2,5,-4
313,1,1,5,-4
314,5,2,5,-5
315,1,1,-5,-5
316,1,1,5,-4
317,1,1,6,24300
318,1,1,-5,-5
319,5,2,5,-4
320,1,1,5,-4
321,5,2,-5,-5
322,5,2,5,-5
323,1,1,6,-4
324,1,1,5,-5
325,1,1,-5,-5
326,5,2,-5,-5
327,5,2,-5,-5
328,4,1,-5,-5
329,4,1,-5,-5
330,4,1,-5,-5
331,4,1,5,-4
332,4,1,5,-4
333,7,2,5,-4
334,3,1,-5,-5
335,7,2,5,-4
336,3,1,5,61000
337,3,1,-4,-4
338,7,2,-5,-5
339,7,2,5,-4
340,7,2,5,-4
341,5,2,-5,-5
342,1,1,5,-4
343,7,2,5,-4
344,5,2,5,-5
345,7,2,-5,-5
346,1,1,5,-4
347,5,2,-5,-4
348,1,1,-5,-5
349,1,1,-5,-5
350,1,1,5,-4
351,1,1,6,-5
352,5,2,5,-4
353,1,1,-5,-5
354,5,2,5,-4
355,1,1,5,-4
356,1,1,5,-4
357,1,1,5,45500
358,1,1,6,36000
359,5,2,-5,-5
360,5,2,5,-4
361,1,1,-5,-5
362,1,1,5,-4
363,5,2,5,-4
364,1,1,6,-4
365,5,2,5,-4
366,1,1,-5,-5
367,5,2,5,-4
368,7,2,5,-4
369,5,2,5,-4
370,5,2,5,-4
371,5,2,-5,-5
372,1,1,6,-4
373,5,2,5,-4
374,5,2,-5,-5
375,1,1,-5,48000
376,2,1,5,-4
377,3,1,5,-5
378,3,1,5,-4
379,7,2,5,-4
380,3,1,6,-4
381,3,1,6,-4
382,7,2,5,-4
383,3,1,-5,-5
384,3,1,-5,-5
385,7,2,5,-4
386,7,2,5,-4
387,3,1,6,-4
388,7,2,5,-4
389,5,2,-5,-5
390,7,2,-5,-5
391,7,2,5,-4
392,1,1,6,-4
393,1,1,5,-4
394,3,1,5,-4
395,7,2,5,-4
396,3,1,6,-4
397,7,2,-5,-5
398,3,1,6,-4
399,5,2,5,-4
400,5,2,5,-4
401,5,2,5,-4
402,5,2,5,-4
403,1,1,6,48000
404,1,1,-5,-5
405,5,2,5,88000
406,1,1,5,-4
407,5,2,5,-4
408,1,1,6,-4
409,2,1,5,-4
410,1,1,5,-5
411,1,1,6,-4
412,1,1,5,-4
413,1,1,-5,-5
414,5,2,5,-5
415,1,1,5,-4
416,5,2,5,-4
417,1,1,6,-4
418,5,2,5,15000
419,1,1,5,-4
420,1,1,5,-4
421,1,1,-5,-5
422,1,1,5,-4
423,5,2,5,-4
424,1,1,-5,80000
425,5,2,5,-4
426,4,1,6,-4
427,5,2,-5,-4
428,5,2,-5,-5
429,1,1,-5,-5
430,1,1,-5,-5
431,5,2,5,-4
432,1,1,-5,-5
433,1,1,-5,-5
434,1,1,6,-4
435,1,1,-5,-5
436,5,2,5,110490
437,5,2,5,-4
438,6,2,4,-4
439,5,2,5,-4
440,1,1,-5,-5
441,1,1,-5,-5
442,5,2,5,130000
443,1,1,5,-5
444,5,2,5,-4
445,1,1,6,-4
446,6,2,-5,-5
447,1,1,-5,-4
448,1,1,-5,-5
449,5,2,5,-4
450,1,1,-5,-5
451,1,1,-5,-5
452,6,2,5,-4
453,1,1,-5,-5
454,5,2,-5,-5
455,5,2,5,-4
456,1,1,5,-4
457,1,1,5,-4
458,5,2,5,-4
459,5,2,5,-4
460,5,2,5,-4
461,1,1,5,-4
462,5,2,5,-4
463,1,1,-5,-5
464,1,1,5,-4
465,5,2,5,-4
466,1,1,6,-4
467,5,2,5,-5
468,1,1,5,-4
469,4,1,5,-4
470,2,1,6,-4
471,5,2,5,-4
472,5,2,5,-4
473,1,1,5,-4
474,5,2,5,-4
475,5,2,5,-4
476,5,2,5,-4
477,1,1,6,-4
478,6,2,5,-4
479,1,1,6,50400
480,1,1,5,-4
481,1,1,6,-4
482,1,1,6,-4
483,1,1,5,-4
484,1,1,5,-4
485,5,2,5,-4
486,1,1,5,-4
487,5,2,-5,-4
488,1,1,5,-4
489,1,1,6,-4
490,1,1,-5,-5
491,5,2,5,-4
492,5,2,5,-4
493,1,1,5,-4
494,5,2,-5,-5
495,5,2,5,-4
496,5,2,5,-4
497,1,1,-5,-5
498,1,1,5,-5
499,5,2,5,-4
500,5,2,5,48000
501,5,2,5,-4
502,1,1,5,-4
503,5,2,5,-4
504,5,2,5,-4
505,1,1,5,-4
506,5,2,5,-4
507,5,2,5,88000
508,1,1,-5,-5
509,1,1,-5,-5
510,5,2,-5,-5
511,1,1,-5,-5
512,1,1,-5,-5
513,3,1,5,-4
514,7,2,5,-4
515,5,2,-5,-5
516,3,1,5,-4
517,3,1,5,-4
518,3,1,5,-4
519,7,2,5,-4
520,3,1,6,-4
521,3,1,5,-4
522,7,2,-5,-4
523,3,1,5,-5
524,3,1,-5,-5
525,7,2,-5,-5
526,1,1,-5,-5
527,5,2,5,60000
528,5,2,5,-4
529,5,2,-5,-5
530,5,2,5,-4
531,1,1,5,-4
532,5,2,-5,-5
533,5,2,5,-4
534,1,1,5,-4
