GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
7950000US3600100,3600100,"St. Lawrence County PUMA, New York",42076,591,27374,607,20409,557,14702,617,9.1,0.8,5.9,0.9,2.7,0.7,16.7,1.6,6.6,0.8,3.7,0.8,2.5,0.6,12.7,1.9,13.3,1.0,10.6,1.2,7.7,1.2,19.6,1.8,12.0,0.9,10.1,1.1,8.1,0.9,16.7,2.0,15.0,1.1,15.3,1.3,15.1,1.5,14.0,1.9,19.1,1.1,22.7,1.4,24.7,1.6,10.6,1.5,11.4,0.8,14.6,1.0,17.5,1.4,4.6,1.0,9.3,0.7,12.1,1.0,15.3,1.1,3.0,0.9,2.7,0.4,3.4,0.6,4.4,0.8,1.3,0.6,1.4,0.3,1.7,0.5,2.1,0.6,0.9,0.4,43745,1396,53862,1413,63396,1629,25541,1327,56216,1389,65112,1780,74062,2130,36304,1808,25.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.9,(X)
7950000US3600200,3600200,"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",69322,806,44031,794,33799,845,25291,780,7.0,0.6,4.2,0.5,1.2,0.3,14.2,1.5,6.2,0.6,2.9,0.5,1.8,0.4,12.0,1.3,12.0,0.6,8.3,0.7,5.9,0.7,19.1,1.5,11.5,0.7,10.1,0.8,8.2,0.8,14.6,1.5,14.8,0.7,14.8,0.9,13.9,0.9,15.0,1.5,19.9,0.8,22.6,1.1,24.0,1.3,13.8,1.1,12.5,0.7,15.7,1.0,18.4,1.2,6.1,0.9,11.3,0.6,14.8,1.0,18.3,1.3,4.1,0.7,2.9,0.4,4.3,0.6,5.3,0.8,0.5,0.2,1.8,0.3,2.4,0.4,3.0,0.6,0.6,0.2,48167,1125,60244,1452,69522,1657,27770,1189,60842,1153,71794,1583,81176,1879,38721,1580,29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.8,(X)
7950000US3600300,3600300,"Warren & Washington Counties PUMA, New York",53105,543,35296,732,26969,691,17809,729,4.8,0.5,2.9,0.6,1.1,0.4,10.3,1.4,5.8,0.6,3.8,0.6,1.6,0.5,11.0,1.3,11.2,0.8,7.5,1.0,4.4,0.7,19.8,1.8,11.3,0.9,8.7,1.0,7.3,0.9,16.1,1.7,14.3,0.9,13.7,1.1,12.7,1.1,15.5,2.1,21.2,1.0,23.5,1.5,24.9,1.8,16.3,1.7,14.5,0.9,17.5,1.2,20.3,1.3,6.6,1.2,11.1,0.7,14.7,1.0,18.1,1.2,2.6,0.6,3.6,0.5,4.7,0.6,5.8,0.8,1.1,0.6,2.2,0.4,3.0,0.6,3.9,0.8,0.7,0.4,52908,1233,62667,1497,72508,2108,30591,1406,64375,1397,75125,1786,85446,2170,39415,1992,29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X)
7950000US3600401,3600401,"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",47090,577,31376,389,24198,385,15714,573,6.2,0.7,4.3,0.8,1.5,0.6,11.4,1.6,6.1,0.6,2.8,0.6,1.7,0.6,13.7,1.6,11.6,0.7,7.8,0.8,5.5,0.7,20.0,1.6,11.6,1.0,10.0,1.0,7.8,0.9,16.1,2.1,15.2,0.9,14.8,1.0,13.5,1.1,15.5,1.7,20.7,1.1,23.6,1.5,25.9,1.7,13.1,1.5,13.4,1.0,16.8,1.3,19.9,1.6,5.9,1.3,10.9,0.9,14.5,1.1,17.4,1.5,3.3,0.9,2.8,0.4,3.6,0.6,4.6,0.8,0.4,0.3,1.5,0.4,1.9,0.5,2.4,0.6,0.6,0.5,49228,1500,60276,1839,68750,1594,27360,1066,59286,1179,68855,1459,77567,1725,36801,1909,29.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X)
7950000US3600402,3600402,"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",63664,776,38686,709,26927,641,24978,905,9.4,0.6,6.5,0.8,2.1,0.5,15.1,1.3,6.6,0.6,3.8,0.6,1.5,0.4,11.2,1.3,12.8,0.8,8.6,1.0,5.7,0.9,20.1,1.5,10.8,0.8,9.0,1.0,6.6,0.9,14.1,1.4,13.7,0.8,12.8,1.1,12.0,1.2,14.1,1.2,18.9,1.0,20.9,1.2,22.5,1.5,16.3,1.6,11.0,0.8,14.2,1.0,17.2,1.4,4.6,0.9,10.8,0.6,15.6,0.9,20.5,1.2,3.0,0.6,3.4,0.5,4.9,0.7,6.9,1.0,0.8,0.5,2.6,0.4,3.7,0.6,4.9,0.9,0.7,0.4,46059,1432,59780,1718,74498,2088,26929,1080,61157,1474,74560,2262,89529,3154,38205,2071,27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.8,(X)
7950000US3600403,3600403,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",44689,498,28813,542,22798,595,15876,514,6.9,0.7,3.6,0.6,1.0,0.2,15.2,2.0,6.1,0.7,2.7,0.5,1.8,0.5,12.2,1.5,11.5,0.7,7.7,0.9,5.2,0.7,20.0,1.6,11.4,0.8,10.2,1.1,8.6,1.1,14.0,1.5,14.7,0.7,14.4,0.9,13.7,0.9,14.4,1.3,20.6,0.8,23.4,1.2,25.2,1.5,14.3,1.2,12.3,0.8,15.9,1.1,18.5,1.3,5.2,0.9,11.4,0.7,15.3,1.1,17.6,1.3,3.4,0.9,2.9,0.4,3.8,0.6,4.6,0.8,0.9,0.4,2.1,0.4,3.0,0.5,3.6,0.7,0.4,0.3,49232,1064,62012,1291,69504,1529,26639,1330,61687,1290,73983,1811,82272,2180,36507,1522,31.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.1,(X)
7950000US3600500,3600500,"Jefferson & Lewis Counties PUMA, New York",55819,623,38377,695,29542,706,17442,716,7.1,0.7,5.2,0.7,1.3,0.4,13.5,2.1,5.7,0.6,3.6,0.6,2.0,0.5,10.7,1.3,11.9,0.8,8.7,0.9,5.9,0.9,19.8,2.0,12.3,0.8,11.3,0.9,9.8,1.0,14.4,1.8,16.9,0.9,16.3,1.1,16.5,1.2,16.7,2.0,20.6,0.9,23.4,1.2,26.3,1.3,14.3,1.4,12.1,0.8,14.1,0.9,16.5,1.1,6.6,1.4,9.7,0.6,12.4,0.8,15.4,1.1,3.0,0.8,2.4,0.4,3.2,0.5,4.0,0.6,0.5,0.3,1.4,0.3,1.8,0.4,2.3,0.5,0.5,0.3,46307,863,54695,1245,62543,1212,28494,1522,57149,1054,64786,1401,73849,1634,37509,1818,27.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.8,(X)
7950000US3600600,3600600,"Oswego County PUMA, New York",45753,596,30679,653,22446,658,15074,598,8.4,0.8,5.9,0.8,2.4,0.8,15.7,2.0,5.2,0.6,3.0,0.6,1.1,0.4,10.4,1.3,11.8,0.8,8.4,0.9,5.3,0.7,19.2,1.8,11.7,1.0,9.5,0.8,8.2,1.0,16.8,2.3,15.4,0.9,15.3,1.1,14.0,1.1,15.1,1.9,20.0,1.0,22.8,1.2,25.2,1.4,13.2,1.8,12.4,0.9,15.5,1.2,18.7,1.3,5.1,1.3,11.0,0.9,13.9,1.1,17.8,1.4,3.6,0.9,2.8,0.4,3.8,0.6,5.1,0.8,0.4,0.3,1.4,0.3,1.8,0.4,2.3,0.5,0.4,0.3,47288,1202,58041,1603,69245,1871,27259,1223,59037,1305,68491,1738,78945,2110,36058,1602,30.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X)
7950000US3600701,3600701,"Onondaga County (Central)--Syracuse City PUMA, New York",56013,695,28003,558,13690,538,28010,797,16.6,0.8,12.4,1.2,3.5,1.0,22.5,1.3,9.4,0.8,7.2,0.9,3.1,0.8,12.4,1.3,15.6,0.9,14.8,1.4,8.6,1.3,17.3,1.3,12.3,0.8,11.9,1.0,8.6,1.3,12.8,1.1,14.1,0.9,13.7,1.3,15.0,1.9,12.9,1.1,14.5,0.8,16.3,1.4,21.3,2.0,12.0,1.0,7.4,0.5,9.9,0.8,15.6,1.6,4.3,0.8,7.1,0.7,9.1,1.1,15.9,1.9,4.5,0.8,1.7,0.3,2.7,0.5,4.5,0.9,0.6,0.2,1.3,0.3,2.0,0.5,3.9,0.9,0.6,0.3,31459,870,38560,1619,63850,2907,23144,1396,45476,1190,54196,2212,76176,3136,34747,1345,31.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.1,(X)
