,zipcode,total,non_whiteFraction,non_whiteFraction_err
0,10001,23332,0.3650780044573976,0.10265290938664756
1,10002,78096,0.6851183159188691,0.07528234029244751
2,10003,56767,0.2248841756654394,0.05016193529235267
3,10004,3044,0.2769382391590013,0.25992646418573223
4,10005,8710,0.2623421354764638,0.15565521863644477
5,10006,3277,0.34025022886786693,0.21100551305362417
6,10007,6740,0.2893175074183977,0.17066003392765858
7,10009,59799,0.39432097526714494,0.05408131831957242
8,10010,32854,0.25865952395446523,0.11803531365957932
9,10011,50404,0.20599555590826124,0.0682838624981548
10,10012,24536,0.24335670035865664,0.07719377965232142
11,10013,28211,0.4394739640565737,0.08207563080240608
12,10014,31464,0.11079328756674289,0.05949202795150422
13,10016,50444,0.2739275235905162,0.07988250393089787
14,10017,16533,0.27629589306236013,0.12378088579940599
15,10018,9684,0.40892193308550184,0.12394292119305837
16,10019,39505,0.3021642830021516,0.07454663371288017
17,10020,0,,inf
18,10021,45261,0.17348268929100108,0.07306397700751781
19,10022,30262,0.1476108651113608,0.0746766958289613
20,10023,60307,0.179100270283715,0.05085265838635458
21,10024,58516,0.18600041014423407,0.06516564604934534
22,10025,94717,0.3400445537759853,0.05398759430882651
23,10026,38540,0.739880643487286,0.1098084187312295
24,10027,64120,0.7000311915159076,0.07123392505688678
25,10028,48205,0.13911419977180794,0.0775990706982189
26,10029,79411,0.6531085114152951,0.06426890770868822
27,10030,30358,0.8409315501679953,0.18810270950020586
28,10031,60778,0.7089571884563494,0.09323462688983206
29,10032,63189,0.6846286537213755,0.11643681625521697
30,10033,59353,0.5866931747342173,0.07322036358474486
31,10034,43951,0.6033992400627972,0.08943825669485932
32,10035,34187,0.7810278760932519,0.118628632745077
33,10036,25987,0.35783276253511376,0.08430233422290563
34,10037,20112,0.8925517104216388,0.22133409396350937
35,10038,22300,0.497219730941704,0.1060051790819509
36,10039,27471,0.8813294019147464,0.2242775520036187
37,10040,45033,0.6368662980480981,0.09747772205533756
38,10044,11731,0.46858750319665843,0.12819836079784516
39,10065,30001,0.1284290523649212,0.0825513833188079
40,10069,5231,0.28044350984515387,0.2789035259170464
41,10075,23353,0.1196848370659016,0.12133023759337218
42,10103,0,,inf
43,10110,0,,inf
44,10111,0,,inf
45,10112,0,,inf
46,10115,0,,inf
47,10119,0,,inf
48,10128,63006,0.1933149223883439,0.05296272667321542
49,10152,0,,inf
50,10153,0,,inf
51,10154,0,,inf
52,10162,1253,0.14684756584197922,0.5860300963585686
53,10165,0,,inf
54,10167,0,,inf
55,10168,0,,inf
56,10169,0,,inf
57,10170,0,,inf
58,10171,0,,inf
59,10172,0,,inf
60,10173,0,,inf
61,10174,0,,inf
62,10177,0,,inf
63,10199,0,,inf
64,10271,0,,inf
65,10278,0,,inf
66,10279,0,,inf
67,10280,9845,0.2296597257491112,0.14857430820256262
68,10282,5635,0.2926353149955634,0.16847866854577304
69,10301,39519,0.46309370176370857,0.05694562753102769
70,10302,17758,0.3951458497578556,0.09978572159798416
71,10303,24562,0.5984447520560214,0.10599800402327467
72,10304,42054,0.4717268274123746,0.07872789075476334
73,10305,41533,0.23944814966412253,0.05829269867333586
74,10306,55031,0.10966546128545729,0.05101411071102164
75,10307,15275,0.06238952536824882,0.08482757840569227
76,10308,30347,0.07424127590865659,0.06154404864421605
77,10309,33459,0.10457574942466896,0.06493909849336137
78,10310,24250,0.39624742268041235,0.0850956330309398
79,10311,0,,inf
80,10312,60951,0.08331282505619264,0.04151315648468267
81,10314,88585,0.23356098662301739,0.03304384735936896
82,10451,48289,0.8930191140839528,0.1470756887465848
83,10452,75288,0.8889065986611412,0.1423483282282505
84,10453,80516,0.8959709871329922,0.1195586467876045
85,10454,38938,0.8440084236478504,0.1770562884994259
86,10455,42779,0.9073610883844877,0.18201891854843152
87,10456,92712,0.91443394598326,0.13903401644470678
88,10457,74010,0.88385353330631,0.12702822703976935
89,10458,81698,0.80698425910059,0.10811520267042246
90,10459,47972,0.8825148003001752,0.13134562703874797
91,10460,60266,0.8658613480237614,0.13788272855961317
92,10461,50255,0.5229330414884091,0.06773544616467925
93,10462,78725,0.7768307399174341,0.06383700084750972
94,10463,71657,0.5688767322103911,0.05489701604960169
95,10464,4300,0.24139534883720926,0.2193338207819067
96,10465,44950,0.3928587319243604,0.05793279951568549
97,10466,71645,0.9129736897201479,0.16258337297504077
98,10467,103045,0.7997282740550244,0.0779772587109752
99,10468,75537,0.8592345473079418,0.11868717883114281
100,10469,71664,0.8134349185085956,0.08819991841116495
101,10470,14574,0.5330725950322492,0.09863903854633127
102,10471,21601,0.29216239988889403,0.06959200568047871
103,10472,68972,0.8255234008003247,0.10895675346554887
104,10473,61818,0.6444401307062668,0.09176393241166902
105,10474,12793,0.8769639646681779,0.256672467300115
106,10475,44749,0.8418288676841941,0.25861645628939955
107,10501,1226,0.06525285481239806,0.24926176315819815
108,10502,5513,0.28060946852893165,0.09082468632492975
109,10503,137,0.0948905109489051,0.5902469324899545
110,10504,7903,0.08186764519802603,0.06857593328722345
111,10505,905,0.14585635359116023,0.3689209124624059
112,10506,5963,0.05165185309408016,0.16212103886691895
113,10507,6859,0.3175389998542062,0.15919577994540351
114,10509,19419,0.137391214789639,0.048959682447516986
115,10510,10423,0.20665835172215297,0.0786206786504018
116,10511,2263,0.2019443216968626,0.15060644306970605
117,10512,25076,0.1096267347264317,0.06007633575709645
118,10514,12688,0.12697036569987386,0.06988728135937473
119,10516,5486,0.049763033175355464,0.07008182792074891
120,10517,584,0.13013698630136983,0.6554949646652812
121,10518,1478,0.07713125845737479,0.3524156429785266
122,10519,137,0.014598540145985384,0.9828403647808427
123,10520,12797,0.19309213096819566,0.05943954520124002
124,10522,11058,0.1964188822571894,0.05057551258592034
125,10523,9058,0.6198940163391478,0.12719166927945097
126,10524,4268,0.1255857544517338,0.09311890371598237
127,10526,1522,0.04796320630749018,0.22935428316568296
128,10527,836,0.02631578947368418,0.3111882865689726
129,10528,13066,0.21154140517373332,0.08390818082448093
130,10530,12800,0.282578125,0.08894184148672506
131,10532,5019,0.12572225542936843,0.09491120472506967
132,10533,7590,0.1263504611330698,0.08344363609876321
133,10535,685,0.13430656934306573,0.6380906853009592
134,10536,10775,0.10663573085846867,0.0986595128412261
135,10537,1541,0.16417910447761197,0.38273492576294765
136,10538,16718,0.11113769589663836,0.0509467115665617
137,10541,26371,0.08691365515149219,0.05375396810801059
138,10543,20643,0.24187375865910965,0.06012226719882379
139,10545,131,0.07633587786259544,0.434805771359981
140,10546,1433,0.27494766224703415,0.378966667441128
141,10547,7461,0.2538533708618148,0.16232888675308205
142,10548,3398,0.15420835785756326,0.14863870161361825
143,10549,16557,0.266231805278734,0.07849824483050251
144,10550,37679,0.8489874996682503,0.14364376062575698
145,10552,19620,0.5153924566768604,0.10054834076106156
146,10553,10606,0.9512540071657553,0.45186926421646806
147,10560,4930,0.10831643002028402,0.07537341950782489
148,10562,31745,0.4756339581036384,0.0738619104547719
149,10566,23977,0.5833507110981357,0.0819921763026599
150,10567,20652,0.21789657176060429,0.06428330942784352
